song_id,genre
Bob-James/Take-Me-to-the-Mardi-Gras,Jazz Fusion
Bob-James/Take-Me-to-the-Mardi-Gras,Jazz-Funk
Bob-James/Take-Me-to-the-Mardi-Gras,Contemporary Jazz
Doug-E.-Fresh/La-Di-Da-Di,Hip Hop
Rob-Base-%26-DJ-E-Z-Rock/It-Takes-Two,Hip Hop
Rob-Base-%26-DJ-E-Z-Rock/It-Takes-Two,East Coast Hip Hop
Billy-Stewart/Summertime,Rhythm & Blues
Billy-Stewart/Summertime,Jazz Pop
Billy-Stewart/Summertime,Chicago Soul
Maze-Featuring-Frankie-Beverly/Joy-and-Pain,R&B
Sylvia-Striplin/You-Can%27t-Turn-Me-Away,Soul
2-Live-Crew/C%27mon-Babe,Hip Hop
2-Live-Crew/C%27mon-Babe,Miami Bass
Zapp/More-Bounce-to-the-Ounce,Funk
Zapp/More-Bounce-to-the-Ounce,Synth Funk
Kool-%26-the-Gang/Funky-Stuff,Funk
Kool-%26-the-Gang/Funky-Stuff,Contemporary R&B
Kool-%26-the-Gang/Funky-Stuff,Disco
Kool-%26-the-Gang/Funky-Stuff,Electronic
Olympic-Runners/Put-the-Music-Where-Your-Mouth-Is,Funk
Olympic-Runners/Put-the-Music-Where-Your-Mouth-Is,Soul
Afrika-Bambaataa/Planet-Rock,Afro-Funk
Afrika-Bambaataa/Planet-Rock,Electro-Funk
Afrika-Bambaataa/Planet-Rock,Breakbeat
Uncle-Louie/I-Like-Funky-Music-(12-Remix),Funk
Uncle-Louie/I-Like-Funky-Music-(12-Remix),Soul
Kurtis-Blow/Christmas-Rappin%27,Hip Hop
Kurtis-Blow/Christmas-Rappin%27,Electro
Kurtis-Blow/Christmas-Rappin%27,Disco Rap
Kurtis-Blow/Christmas-Rappin%27,East Coast Hip Hop
James-Brown/Soul-Pride,Blues
James-Brown/Soul-Pride,Christmas Music
James-Brown/Soul-Pride,Disco
James-Brown/Soul-Pride,Film Soundtrack
James-Brown/Funky-Drummer,Blues
James-Brown/Funky-Drummer,Christmas Music
James-Brown/Funky-Drummer,Disco
James-Brown/Funky-Drummer,Film Soundtrack
KC-%26-the-Sunshine-Band/I-Get-Lifted,Pop Soul
KC-%26-the-Sunshine-Band/I-Get-Lifted,Trap
KC-%26-the-Sunshine-Band/I-Get-Lifted,Hip Hop
KC-%26-the-Sunshine-Band/I-Get-Lifted,Rap
KC-%26-the-Sunshine-Band/I-Get-Lifted,Soul
KC-%26-the-Sunshine-Band/I-Get-Lifted,Disco
KC-%26-the-Sunshine-Band/I-Get-Lifted,German
KC-%26-the-Sunshine-Band/I-Get-Lifted,Smooth Soul
The-5-Royales/Think,R B
"Hank-Williams/Hey,-Good-Lookin%27",Blues
"Hank-Williams/Hey,-Good-Lookin%27",Classic Country
"Hank-Williams/Hey,-Good-Lookin%27",Country Blues
"Hank-Williams/Hey,-Good-Lookin%27",Country
Tony!-Toni!-Ton%C3%A9!/Feels-Good,Funk
Tony!-Toni!-Ton%C3%A9!/Feels-Good,Pop Soul
Tony!-Toni!-Ton%C3%A9!/Feels-Good,Quiet Storm
