song_id,genre
Playboi-Carti/MOJO-JOJO,alternative hip hop
Playboi-Carti/MOJO-JOJO,english
Playboi-Carti/MOJO-JOJO,plugg
Playboi-Carti/MOJO-JOJO,hardcore hip hop
Playboi-Carti/MOJO-JOJO,cloud rap
Playboi-Carti/MOJO-JOJO,hip hop
Playboi-Carti/MOJO-JOJO,conscious hip hop
Kendrick-Lamar/The-Heart-Part-4,hip-hop/rap
Ngozi-Family/Nizakupanga-Ngozi,zamrock
Ngozi-Family/Nizakupanga-Ngozi,psychedelic rock
D4L/Scotty,hip-hop
Wendy-Rene/After-Laughter-(Comes-Tears),soul
Metro-Boomin/No-More,english
Metro-Boomin/No-More,trap
Metro-Boomin/No-More,hip hop
Metro-Boomin/No-More,southern hip hop
Metro-Boomin/No-More,experimental hip hop
Metro-Boomin/No-More,pop rap
Metro-Boomin/No-More,rap
Metro-Boomin/No-More,gangsta rap
Metro-Boomin/No-More,mumble rap
Michael-Jackson/Ain%27t-No-Sunshine,dance-pop
Michael-Jackson/Ain%27t-No-Sunshine,boogie
Michael-Jackson/Ain%27t-No-Sunshine,contemporary r&b
Michael-Jackson/Ain%27t-No-Sunshine,american
"Tyler,-the-Creator/THAT-GUY",hip hop
"Tyler,-the-Creator/THAT-GUY",horrorcore
"Tyler,-the-Creator/THAT-GUY",_fix whosampled dupe url
"Tyler,-the-Creator/THAT-GUY",hardcore hip hop
B.T.-Express/If-It-Don%27t-Turn-You-on-(You-Oughta-Leave-It-Alone),funk
Cocoa-Tea/Easy-Nuh,dancehall
Cocoa-Tea/Easy-Nuh,reggae
Sexyy-Red/U-My-Everything,trap
Sexyy-Red/U-My-Everything,hardcore hip hop
Sexyy-Red/U-My-Everything,hip hop
Sexyy-Red/U-My-Everything,contemporary r&b
Sexyy-Red/U-My-Everything,alternative r&b
DJ-Earworm/Summermash-%2724,awesomename
DJ-Earworm/Summermash-%2724,dance-pop
DJ-Earworm/Summermash-%2724,electropop
DJ-Earworm/Summermash-%2724,awesome name
Yuno-Miles/Drake-BBL-Freestyle,comedy hip hop
DJ-Earworm/United-State-of-Pop-2024-(Blame-It-on-the-Whiskey),mashup
Kanye-West/Keep-the-Receipt,hip hop
Kanye-West/Keep-the-Receipt,east coast hip hop
Kanye-West/Keep-the-Receipt,hip-hop
Kanye-West/Keep-the-Receipt,rap
Kanye-West/Keep-the-Receipt,conscious hip hop
Kanye-West/Keep-the-Receipt,electropop
Kanye-West/Keep-the-Receipt,chipmunk soul
Kanye-West/Keep-the-Receipt,christian hip hop
The-24-Carat-Black/Poverty%27s-Paradise,funk
The-24-Carat-Black/Poverty%27s-Paradise,soul
The-24-Carat-Black/Poverty%27s-Paradise,r&b
The-Notorious-B.I.G./Warning,death by murder
The-Notorious-B.I.G./Warning,boom bap
The-Notorious-B.I.G./Warning,east coast hip hop
The-Notorious-B.I.G./Warning,gangsta rap
En-Vogue/Hold-On,new jack swing
En-Vogue/Hold-On,funk rock
En-Vogue/Hold-On,contemporary r&b
En-Vogue/Hold-On,east coast hip hop
DJ-Quik/Thinkin%27-Bout-U,gangsta rap
DJ-Quik/Thinkin%27-Bout-U,hip hop
DJ-Quik/Thinkin%27-Bout-U,west coast hip hop
Mustard/A-Song-for-Mom,english
Mustard/A-Song-for-Mom,trap
Mustard/A-Song-for-Mom,neo soul
Mustard/A-Song-for-Mom,rnb
Mustard/A-Song-for-Mom,hip hop
Mustard/A-Song-for-Mom,contemporary r&b
Mustard/A-Song-for-Mom,r&b
Mustard/A-Song-for-Mom,alternative r&b
Mustard/A-Song-for-Mom,ratchet music
Mustard/A-Song-for-Mom,soul
Mustard/A-Song-for-Mom,jazz
