"whosampled_id","mood_party","danceability_danceable","mood_relaxed","mood_sad","timbre_bright","tonal_atonal_atonal","cascade_size","temporal_influence"
"Billy-Squier/The-Big-Beat","0.883046507835","0.455329328775","0.411165744066","0.0154642369598","0.925242066383","0.020592238754","301","0.15000000000000002"
"Trouble-Funk/Let%27s-Get-Small","0.971457242966","0.999725759029","0.0470831952989","0.0738068521023","0.898575007915","0.031996242702","",""
"Trouble-Funk/Drop-the-Bomb","0.866401433945","0.999350368977","0.194614231586","0.223588690162","0.229607656598","0.386924952269","174","0.15000000000000002"
"Richard-%26-Willie/Brothers","","","","","","","68","0.15000000000000002"
"Hashim/Al-Naafiysh-(The-Soul)-(B-Side)","","","","","","","129","0.15000000000000002"
"The-Notorious-B.I.G./Warning","0.607463598251","0.952757537365","0.535397410393","0.525625288486","0.749921381474","0.12290391326","60","0.405"
"Kendrick-Lamar/Euphoria","","","","","","","",""
"Kendrick-Lamar/Heart-Pt.-6","","","","","","","0","0.16537083333333336"
"Sabrina-Carpenter/Espresso","","","","","","","0","0.5325000000000001"
"Kendrick-Lamar/Luther","","","","","","","0","0.16416666666666668"
"SZA/30-for-30","","","","","","","0","0.16416666666666668"
"JPEGMAFIA/Exmilitary","","","","","","","0","0.29025"
"Tyler,-the-Creator/Noid","","","","","","","0","0.2775"
"Metro-Boomin/BBL-DRIZZY-BPM-150.mp3","","","","","","","",""
"Kendrick-Lamar/Hey-Now","","","","","","","0","0.37137136904761914"
"SWV/Use-Your-Heart","0.270263701677","0.6309928298","0.232129216194","0.623396873474","0.910395085812","0.984177827835","9","0.16275000000000003"
"Oliver/105-Drum-Loop-Disco-Live-Feel","","","","","","","1","0.15000000000000002"
"Oliver/104-Pop-Loop-Surf-Dad-Rhythm-Lead-C","","","","","","","1","0.15000000000000002"
"Oliver/105-Drum-Fill-Live-Mixready-Funk","","","","","","","1","0.15000000000000002"
"Switch-(Band)/I-Call-Your-Name","","","","","","","21","0.15000000000000002"
"Cheryl-Lynn/If-This-World-Were-Mine","0.0458292774856","0.308619141579","0.948184370995","0.649403035641","0.833207130432","0.730046451092","9","0.15000000000000002"
"Teddy-Pendergrass/You%27re-My-Latest,-My-Greatest-Inspiration","1.57784197654E-5","0.999999880791","0.808817088604","0.59831392765","0.876767456532","0.24730668962","14","0.15000000000000002"
"DJ-Collo/Euphoria","","","","","","","0","0.15000000000000002"
"Kanye-West/Get-Em-High","1.57784197654E-5","3.00000096379E-14","0.808817088604","0.146344736218","0.0114069571719","1.99674718715E-6","13","0.30236250000000003"
"Playboi-Carti/MOJO-JOJO","","","","","","","0","0.15000000000000002"
"Kendrick-Lamar/The-Heart-Part-4","0.652154862881","0.995752751827","0.990775823593","0.68746304512","0.0816554427147","0.0391303747892","",""
"The-Wiz/The-Wiz%27s-Real-Identity","","","","","","","",""
"Ngozi-Family/Nizakupanga-Ngozi","","","","","","","1","0.15000000000000002"
"Frayser-Boy/Wish-a-Mutha-Would","0.680093169212","0.999540627003","0.471599936485","0.148760735989","0.494699418545","0.231597214937","8","0.15000000000000002"
"D4L/Scotty","0.969134271145","0.999998450279","0.628863036633","0.0691450834274","0.111929818988","1.69796148839E-5","1","0.16949940476190478"
"Tuamie/Open-Case","","","","","","","0","0.21375000000000002"
"King-Willonius/BBL-Drizzy","","","","","","","",""
"Fat-Money/Euphoria","","","","","","","",""
"Traditional-Folk/Eenie,-Meenie,-Miny,-Moe","","","","","","","",""
"Wendy-Rene/After-Laughter-(Comes-Tears)","0.0831989049911","0.153447419405","0.654725074768","0.651256322861","0.548860609531","0.17890432477","",""
"DJ-Collo/Taylor-Made","","","","","","","0","0.15000000000000002"
"Wait-What/Etheria","","","","","","","0","0.17620833333333336"
"Metro-Boomin/No-More","0.0156048322096","0.995096564293","0.872860014439","0.5","0.0100066335872","0.011612676084","2","0.181875"
"Michael-Jackson/Ain%27t-No-Sunshine","","","","","","","16","0.15000000000000002"
"Skylar-Spence/Espresso-(Skylar-Spence-Remix)","","","","","","","",""
"DJs-From-Mars/Espresso-Papi","","","","","","","",""
"Tyler,-the-Creator/THAT-GUY","","","","","","","",""
"Porter/La-China","0.0566829964519","0.128710359335","0.993976354599","0.485637485981","0.957113921642","0.260531961918","1","0.15000000000000002"
